City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kirakira,-10.4544,161.9205,24.86,95,100,2.0,SB,1699380539
1,adamstown,-25.066,-130.1015,22.44,85,100,9.17,PN,1699380539
2,ushuaia,-54.8,-68.3,7.81,54,75,11.18,AR,1699380351
3,hammerfest,70.6634,23.6821,1.25,93,75,2.06,NO,1699380383
4,port-aux-francais,-49.35,70.2167,3.5,76,76,10.51,TF,1699380540
5,longyearbyen,78.2186,15.6401,-13.09,72,40,5.66,SJ,1699380424
6,afaahiti,-17.75,-149.2833,25.93,84,92,10.17,PF,1699380540
7,borba,-4.3878,-59.5939,26.32,78,100,0.83,BR,1699380540
8,aral,40.5156,81.2636,9.45,23,6,1.33,CN,1699380417
9,petropavlovsk-kamchatsky,53.0452,158.6483,-5.12,45,100,6.83,RU,1699380541
10,tazovsky,67.4667,78.7,-4.86,96,100,6.55,RU,1699380542
11,grytviken,-54.2811,-36.5092,5.19,70,84,1.19,GS,1699380260
12,san antonio de pale,-1.4014,5.6325,26.44,81,71,6.28,GQ,1699380542
13,olonkinbyen,70.9221,-8.7187,1.09,71,99,3.63,SJ,1699380543
14,vorkuta,67.5,64.0,0.33,99,100,2.83,RU,1699380543
15,buenaventura,3.8801,-77.0312,29.02,82,94,2.44,CO,1699380248
16,ust-nera,64.5667,143.2,-27.3,99,99,0.39,RU,1699380543
17,tiksi,71.6872,128.8694,-22.92,96,69,3.25,RU,1699380431
18,bredasdorp,-34.5322,20.0403,14.37,60,57,2.42,ZA,1699380512
19,sierra grande,-41.606,-65.3557,22.55,14,80,11.45,AR,1699380544
20,college,64.8569,-147.8028,-8.03,86,100,0.0,US,1699380465
21,saipan,15.1355,145.701,27.39,83,40,4.63,MP,1699380545
22,zuni pueblo,35.0725,-108.8506,19.35,13,0,10.9,US,1699380545
23,hillsborough,37.5741,-122.3794,17.93,75,20,5.66,US,1699380508
24,santarem,-2.4431,-54.7083,31.07,70,20,2.57,BR,1699380489
25,qaqortoq,60.7167,-46.0333,3.09,49,100,3.9,GL,1699380546
26,kondapalle,16.6167,80.5333,23.72,92,73,1.54,IN,1699380546
27,yellowknife,62.456,-114.3525,-5.33,99,100,3.58,CA,1699380546
28,port alfred,-33.5906,26.891,16.21,85,15,1.79,ZA,1699380462
29,vorgashor,67.5833,63.95,0.17,99,100,2.97,RU,1699380547
30,pemba,-12.974,40.5178,26.57,81,1,6.29,MZ,1699380547
31,kosigi,15.85,77.2667,24.39,81,82,3.29,IN,1699380547
32,bethel,41.3712,-73.414,17.53,73,0,3.09,US,1699380548
33,paola,39.3599,16.0396,17.05,66,29,1.03,IT,1699380548
34,inarajan village,13.2736,144.7484,28.54,91,57,5.53,GU,1699380548
35,yuzhno-kurilsk,44.0306,145.8556,9.52,72,75,9.2,RU,1699380548
36,edinburgh of the seven seas,-37.0676,-12.3116,15.77,90,42,15.35,SH,1699380549
37,nova sintra,14.8667,-24.7167,24.03,72,100,6.58,CV,1699380549
38,urumqi,43.801,87.6005,1.53,56,0,2.0,CN,1699380549
39,ribeira grande,38.5167,-28.7,20.43,88,75,8.05,PT,1699380550
40,la ronge,55.1001,-105.2842,0.68,84,90,3.06,CA,1699380550
41,anadyr,64.75,177.4833,-12.72,85,20,3.0,RU,1699380550
42,xiuyan,40.2928,123.2744,0.93,52,68,1.61,CN,1699380551
43,waitangi,-43.9535,-176.5597,12.68,97,100,0.45,NZ,1699380551
44,bilibino,68.0546,166.4372,-20.14,97,100,0.37,RU,1699380551
45,eraan,9.0629,117.7016,26.91,83,97,1.52,PH,1699380551
46,puerto ayora,-0.7393,-90.3518,28.98,78,49,4.02,EC,1699380552
47,holualoa,19.6228,-155.9522,24.32,84,75,3.6,US,1699380552
48,new norfolk,-42.7826,147.0587,12.72,98,69,1.1,AU,1699380552
49,port augusta,-32.5,137.7667,15.98,54,55,3.71,AU,1699380553
50,margaret river,-33.95,115.0667,10.95,92,33,3.45,AU,1699380553
51,tokar,18.4254,37.729,29.54,63,26,5.4,SD,1699380553
52,ljungby,56.8332,13.9408,8.23,96,30,2.56,SE,1699380327
53,dunedin,-45.8742,170.5036,10.45,84,100,2.24,NZ,1699380435
54,vadso,70.0744,29.7487,1.09,86,75,4.12,NO,1699380554
55,opuwo,-18.0607,13.84,26.07,15,0,4.46,,1699380554
56,mikkeli,61.6886,27.2723,4.06,100,100,0.51,FI,1699380461
57,vila franca do campo,37.7167,-25.4333,20.49,99,45,6.4,PT,1699380554
58,plettenberg bay,-34.0527,23.3716,15.39,77,86,3.27,ZA,1699380275
59,blackmans bay,-43.0167,147.3167,12.07,95,92,1.69,AU,1699380555
60,thompson,55.7435,-97.8558,-2.61,72,89,3.86,CA,1699380462
61,peniche,39.3558,-9.3811,15.72,66,76,3.82,PT,1699380555
62,hasaki,35.7333,140.8333,12.22,58,14,6.89,JP,1699380556
63,kingston,17.997,-76.7936,29.56,71,40,0.75,JM,1699380556
64,las tunas,20.9617,-76.9511,28.58,55,23,3.73,CU,1699380556
65,gambela,8.25,34.5833,23.22,95,87,1.94,ET,1699380556
66,hermanus,-34.4187,19.2345,15.04,68,54,2.49,ZA,1699380444
67,bloomington,44.8408,-93.2983,6.7,80,100,5.14,US,1699380557
68,touros,-5.1989,-35.4608,28.94,57,95,6.86,BR,1699380557
69,annau,37.8876,58.516,18.72,48,75,3.09,TM,1699380558
70,aykhal,66.0,111.5,-20.21,100,57,1.33,RU,1699380474
71,west island,-12.1568,96.8225,25.99,83,75,5.14,CC,1699380558
72,tianshui,34.5439,105.6897,6.86,84,40,1.51,CN,1699380558
73,el porvenir,13.7617,-87.3458,28.63,63,55,0.25,HN,1699380559
74,kisangani,0.5167,25.2,23.16,95,72,1.34,CD,1699380559
75,verkhnevilyuysk,63.4453,120.3167,-25.5,99,76,1.2,RU,1699380559
76,kuanda,56.3161,116.0806,-12.51,93,100,0.49,RU,1699380559
77,malax,62.9423,21.5731,3.26,100,100,1.03,FI,1699380560
78,nelson bay,-32.7167,152.15,17.22,93,44,3.58,AU,1699380443
79,port mathurin,-19.6833,63.4167,24.98,78,11,5.24,MU,1699380561
80,wailua homesteads,22.0669,-159.378,25.44,87,75,7.72,US,1699380561
81,aladag,37.5485,35.396,15.48,56,2,2.16,TR,1699380561
82,meadow lake,34.8014,-106.5436,22.13,18,0,5.71,US,1699380561
83,solnechnyy,50.7214,136.6319,-8.45,90,96,2.88,RU,1699380562
84,invercargill,-46.4,168.35,9.45,88,100,0.89,NZ,1699380562
85,vernon,50.2581,-119.2691,8.5,90,100,0.89,CA,1699380562
86,fonte boa,-2.4959,-66.2662,28.57,67,100,0.63,BR,1699380563
87,cherdyn',60.403,56.4787,2.42,92,99,3.35,RU,1699380563
88,albany,42.6001,-73.9662,16.98,66,41,0.89,US,1699380563
89,punta arenas,-53.15,-70.9167,7.84,65,92,5.92,CL,1699380031
90,jinghong,21.991,100.7341,19.06,97,74,0.42,CN,1699380564
91,caleta de carquin,-11.0925,-77.6267,21.82,69,35,5.81,PE,1699380564
92,jamestown,42.097,-79.2353,11.4,80,100,6.69,US,1699380564
93,fisterra,42.9049,-9.2629,12.64,63,96,5.47,ES,1699380565
94,madera,37.1666,-119.8343,17.21,78,1,4.23,US,1699380565
95,khirkiyan,22.1667,76.85,21.8,44,0,1.79,IN,1699380565
96,puerto aysen,-45.4,-72.7,9.01,99,100,1.95,CL,1699380341
97,hawaiian paradise park,19.5933,-154.9731,24.39,95,100,2.57,US,1699380566
98,namibe,-15.1961,12.1522,20.6,71,22,3.73,AO,1699380566
99,tolanaro,-25.0319,46.9987,22.68,78,8,7.84,MG,1699380566
100,aasiaat,68.7098,-52.8699,-7.29,74,100,6.43,GL,1699380566
101,saldanha,-33.0117,17.9442,14.61,78,23,6.22,ZA,1699380567
102,el calafate,-50.3408,-72.2768,10.61,63,16,6.43,AR,1699380523
103,constantia,44.1833,28.65,12.61,66,100,4.11,RO,1699380301
104,chonchi,-42.6128,-73.8092,13.95,57,83,3.92,CL,1699380567
105,lianhe,47.1333,129.2667,-20.02,100,42,0.96,CN,1699380568
106,kodiak,57.79,-152.4072,-1.27,86,100,1.54,US,1699380568
107,nemuro,43.3236,145.575,9.91,76,15,9.08,JP,1699380568
108,lospalos,-8.5186,127.0025,21.01,94,57,0.27,TL,1699380560
109,greenville,35.6127,-77.3663,26.19,39,0,4.12,US,1699380569
110,launceston,-41.45,147.1667,13.78,94,40,0.51,AU,1699380569
111,magadan,59.5667,150.8,-14.88,77,3,5.42,RU,1699380466
112,puerto natales,-51.7236,-72.4875,10.25,53,75,10.29,CL,1699380570
113,whitehorse,60.7161,-135.0538,-2.77,79,71,4.92,CA,1699380527
114,gizo,-8.103,156.8419,27.24,81,100,2.77,SB,1699380570
115,zhob,31.3411,69.4481,15.77,53,65,2.12,PK,1699380570
116,asmara,15.3333,38.9333,13.56,88,99,1.73,ER,1699380299
117,hadibu,12.65,54.0333,26.57,73,42,3.7,YE,1699380310
118,colac,-38.3333,143.5833,15.09,90,6,0.93,AU,1699380513
119,malabar,-33.9667,151.25,17.29,83,44,0.0,AU,1699380571
120,la passe,45.5549,-0.8967,10.13,83,50,4.04,FR,1699380571
121,badger,64.8,-147.5333,-8.07,86,100,0.0,US,1699380572
122,kaspiysk,42.8816,47.6392,15.13,58,80,2.0,RU,1699380572
123,sisimiut,66.9395,-53.6735,-4.78,61,100,4.0,GL,1699380572
124,ar ruways,24.1103,52.7306,27.3,53,5,5.64,AE,1699380392
125,iskateley,67.6803,53.1512,0.57,100,100,4.02,RU,1699380573
126,leon de los aldama,21.1167,-101.6667,26.03,18,36,1.27,MX,1699380573
127,uturoa,-16.7333,-151.4333,25.39,79,92,11.06,PF,1699380574
128,dudinka,69.4058,86.1778,-10.21,92,100,12.72,RU,1699380574
129,kruisfontein,-34.0033,24.7314,13.7,85,24,5.38,ZA,1699380574
130,mpongwe,-13.5091,28.155,19.42,87,75,2.86,ZM,1699380575
131,utrik,11.2278,169.8474,27.78,78,99,10.46,MH,1699380575
132,sitka,57.0531,-135.33,3.94,93,75,3.6,US,1699380575
133,cabo san lucas,22.8909,-109.9124,31.7,58,75,6.17,MX,1699380575
134,cosolapa,18.5833,-96.65,26.57,72,89,1.44,MX,1699380576
135,kuta,-8.7233,115.1723,25.97,94,40,2.68,ID,1699380576
136,popondetta,-8.7537,148.2534,22.64,97,100,1.31,PG,1699380576
137,monrovia,6.3005,-10.7969,27.32,82,33,3.45,LR,1699380301
138,kapa'a,22.0752,-159.319,26.18,87,75,7.72,US,1699380577
139,eureka,40.8021,-124.1637,15.11,93,69,0.45,US,1699380577
140,christchurch,-43.5333,172.6333,9.39,92,75,1.03,NZ,1699380577
141,sabha,27.0377,14.4283,25.95,17,0,4.29,LY,1699380578
142,flying fish cove,-10.4217,105.6791,24.82,88,75,2.57,CX,1699380578
143,lauchhammer,51.5,13.8,11.73,78,92,2.24,DE,1699380578
144,pahrump,36.2083,-115.9839,19.03,43,5,3.13,US,1699380578
145,papatowai,-46.5619,169.4708,7.82,89,98,2.28,NZ,1699380579
146,oyon,-10.6681,-76.7731,15.93,51,50,3.63,PE,1699380579
147,avarua,-21.2078,-159.775,23.03,56,40,6.69,CK,1699380579
148,happy valley-goose bay,53.3168,-60.3315,-1.27,53,100,1.31,CA,1699380579
149,iqaluit,63.7506,-68.5145,-9.61,78,86,2.68,CA,1699380580
150,tura,25.5198,90.2201,17.9,89,7,1.34,IN,1699380580
151,axim,4.8699,-2.2405,26.89,82,99,3.39,GH,1699380581
152,uyuni,-20.4597,-66.825,20.68,27,27,5.41,BO,1699380581
153,ta`u,-14.2336,-169.5144,26.49,85,100,8.97,AS,1699380581
154,jingdezhen,29.2947,117.2079,13.59,75,27,0.96,CN,1699380582
155,ust-tsilma,65.441,52.1498,1.78,99,100,3.07,RU,1699380582
156,slavutych,51.5196,30.7343,9.0,69,11,1.34,UA,1699380299
157,biltine,14.5333,20.9167,30.55,16,34,4.37,TD,1699380582
158,fort mcmurray,56.7268,-111.381,2.69,85,99,1.39,CA,1699380583
159,sevastopol,44.6,33.5333,15.59,56,23,2.22,UA,1699380482
160,villa ojo de agua,-29.5,-63.6938,39.5,21,0,8.6,AR,1699380583
161,thunder bay,48.4001,-89.3168,0.13,58,32,2.98,CA,1699380583
162,egilsstadir,65.2653,-14.3948,-0.13,97,100,2.2,IS,1699380584
163,odemira,37.598,-8.6397,16.2,79,27,2.22,PT,1699380584
164,nadi,-17.8,177.4167,24.0,78,75,2.57,FJ,1699380584
165,wanning,18.8003,110.3967,24.33,91,98,0.78,CN,1699380584
166,palikir - national government center,6.9248,158.1611,26.41,89,100,2.57,FM,1699380586
167,guane,22.2025,-84.0875,30.0,41,42,2.99,CU,1699380586
168,kone,-21.0595,164.8658,18.54,86,38,2.3,NC,1699380427
169,mirpur sakro,24.5474,67.6277,28.07,42,12,2.07,PK,1699380586
170,klyuchi,52.2667,79.1667,-2.18,79,44,2.03,RU,1699380587
171,mount isa,-20.7333,139.5,20.87,56,3,0.0,AU,1699380587
172,fort bragg,35.139,-79.006,27.12,37,0,3.6,US,1699380587
173,arraial do cabo,-22.9661,-42.0278,24.92,50,0,5.66,BR,1699380588
174,smithers,54.7804,-127.1743,2.93,71,30,1.52,CA,1699380588
175,lihue,21.9789,-159.3672,25.77,83,75,7.72,US,1699380588
176,stanley,54.868,-1.6985,7.62,90,20,4.12,GB,1699380422
177,molde,62.7375,7.1591,4.91,93,75,3.09,NO,1699380589
178,brezina,33.0989,1.2608,16.07,36,69,7.8,DZ,1699380589
179,trairi,-3.2778,-39.2689,30.18,54,59,6.67,BR,1699380589
180,geraldton,-28.7667,114.6,15.23,88,40,4.12,AU,1699380590
181,portland,45.5234,-122.6762,12.74,94,100,2.68,US,1699380324
182,muisne,0.6,-80.0333,26.55,80,95,4.25,EC,1699380590
183,hithadhoo,-0.6,73.0833,27.16,76,100,2.65,MV,1699380590
